folder_id,real_filename,meeting_date,meeting_name,belongs_to
CL8TYU79B2B5,PI Presentation 11.16.22.pdf,16/11/2022,Regular Meeting,Permanent Improvement
CL8TZ879C0B2,November 2022 Forecast PPT.pdf,16/11/2022,Regular Meeting,5 Year Forecast
CL8U2U79FD79,"November 2, 2022 - Early Retirement Incentive Resolution.pdf",16/11/2022,Regular Meeting,Early Retirement Resolution
CL9PXZ66D3AB,New_Revised Board Policies 12.14.2022.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6J67C6A3,po2220 ADOPTION OF COURSES OF STUDY.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6N67CADA,po2280 PRESCHOOL PROGRAM.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6Q67CC8D,po2413 CAREER ADVISING.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6S67CE24,po2430 DISTRICT-SPONSORED CLUBS AND ACTIVITIES.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6V67D126,po2431 INTERSCHOLASTIC ATHLETICS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q6X67D2BB,po3120.08 EMPLOYMENT OF PERSONNEL FOR CO-CURRICULAR_EXTRA-CURRICULAR ACTIVITES.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7367D4CC,po3217 WEAPONS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7867D61C,po4217 WEAPONS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7A67D7FB,po5111 ELIGIBILITY OF RESIDENT_NONRESIDENT STUDENTS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7C67D99A,po5335 CARE OF STUDENTS WITH CHRONIC HEALTH CONDITIONS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7E67DAF1,po5336 CARE OF STUDENTS WITH DIABETES.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7G67DD24,po5460.01 DIPLOMA DEFERRAL.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7N67DEF1,po6700 FAIR LABOR STANDARDS ACT (FLSA).pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q7R67E0D7,po7440.03 SMALL UNMANNED AIRCRAFT SYSTEMS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q8T67E689,po8210 SCHOOL CALENDAR.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q8V67E89C,po8320 PERSONNEL FILES.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q8Z67EA10,po8330 STUDENT RECORDS.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
CL9Q9367EC3E,po8600 TRANSPORTATION.pdf,14/12/2022,Regular Meeting,New/Revised Board Policies ~ First Reading
